C:\Users\admin\Yandex.Disk\home pc\Inventor\PNS2-Panaevsk\Схема Панаевск 02.07.25.dwg,Лист1,26.08.2025 9:58:38,admin,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 MM),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 3,26.08.2025 22:54:29,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1.99995,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.1,26.08.2025 22:54:37,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.2,26.08.2025 22:54:47,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.3,26.08.2025 22:54:57,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.4,26.08.2025 22:55:07,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.5,26.08.2025 22:55:17,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.6,26.08.2025 22:55:27,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.7,26.08.2025 22:55:37,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.8,26.08.2025 22:55:47,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.9,26.08.2025 22:55:57,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.10,26.08.2025 22:56:07,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.11,26.08.2025 22:56:17,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.12,26.08.2025 22:56:27,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.13,26.08.2025 22:56:37,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.14,26.08.2025 22:56:47,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.15,26.08.2025 22:56:57,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.16,26.08.2025 22:57:07,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 4.17,26.08.2025 22:57:17,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.1,26.08.2025 22:57:27,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.2,26.08.2025 22:57:37,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.3,26.08.2025 22:57:47,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.4,26.08.2025 22:57:57,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.5,26.08.2025 22:58:07,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.6,26.08.2025 22:58:17,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.7,26.08.2025 22:58:27,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.8,26.08.2025 22:58:37,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
